Адрес|Высота потолка|Год постройки|Идентификатор|Материал|Мебель|Общая площадь|Описание|Площадь кухни|Ремонт|Цена|Этаж
1 комнатная квартира  в Тюменском мкрн., ул. Широтная, 104/3, г. Тюмень|NA|2000|486868|Панель|Без мебели|45 м²|"Продаётся квартира после капитального ремонта (не кто не проживал), все стены и пол выровнены, пластиковые окна, лоджия застеклена, натяжной потолок, ламинат 34 класса. Санузел выложен кафелем, установлены инсталляция Jacob Delafon, ванная и раковина с тумбой. Межкомнатные двери филенчатые, входная сейф-дверь. Колясочная с лоджий 7 метров. Чистый подъезд, тихий двор. В шаговой доступности ТЦ ""Широтный"", сквер ""Депутатов"", поликлиника 17, детский сад, средняя образовательная школа."|12 м²|Хороший ремонт|4 450 000 ₽|6 из 9
1 комнатная квартира  в 1 микрорайоне, ул. Олимпийская, 12А, г. Тюмень|NA|1981|486760|Панель|Полностью|34 м²|Прекрасная квартира с ремонтом и мебелью. По всей квартире натяжные потолки, пол залит, постелен линолеум, санузел выложен кафельной плиткой. Окна пластиковые.|8 м²|Хороший ремонт|2 455 000 ₽|2 из 8
2 комнатная квартира  в районе Ожогина / Патрушева, ул. Федюнинского, 58/2, |NA|2019|479252|Панель|Частично|58.8 м²|"Предлагаю вашему вниманию отличную квартиру в ""Ново-Патрушево"", с видом на сказочный бульвар. В квартире сделан качественный ремонт. В шаговой доступности магазины, аптеки, детский сад №158, строится школа. Покажем в удобное для вас время. Звоните."|14 м²|Хороший ремонт|4 900 000 ₽|3 из 14
1 комнатная квартира  в районе Червишевского тр., ул. Червишевский тракт, 21/2, Жилой комплекс «Гагарин», г. Тюмень|NA|2015|443819|Панель|NA|43.3 м²|"Предлагаем Вашему вниманию квартиру в жилом комплексе ""Гагарин"". В квартире выполнен отличный ремонт, при продаже оставим кухонный гарнитур, электроплита, духовой шкаф, вытяжка, стиральную машинку, бойлер для нагрева воды, кондиционер, шкаф-купе, два дивана. Функциональная планировка, позволяющая полезно использовать площадь квартиры: кухня-гостиная, большая комната. Санузел совмещен, выложен кафелем. Жилой комплекс состоит из трех домов, закрытый двор, подземный паркинг. На просторной территории двора располагаются спортивные и детские площадки. Услуга ипотечного брокера для Вас бесплатна."|16.2 м²|Хороший ремонт|4 200 000 ₽|8 из 18
1 комнатная квартира  в районе ММС, ул. улица Мелиораторов, 42, г. Тюмень|NA|1985|467007|Кирпич|Полностью|33.7 м²|"Представляю Вашему вниманию уютную и светлую квартиру, расположенную в экологически чистом и спальном районе Тюмени. Квартире требуется ремонт, всё видно на фото. Рядом с домом находятся СОШ №45, детский сад №144, городская поликлиника №8, Сквер Мелиораторов, Дом культуры ""Орфей"", магазины. Квартира готова к заселению и ждёт новых хозяев! Желающим приобрести данную квартиру через ипотеку будут предоставлены льготные условия от банков-партнеров. Звоните."|9 м²|Требует ремонта|2 100 000 ₽|4 из 5
2 комнатная квартира  в районе Метелево, ул. Метелевская, 6, г. Тюмень|NA|1977|484994|Панель|Частично|38 м²|"Продается квартира в одном из самых зеленых и экологически чистых районов Тюмени, выполнен хороший ремонт в пастельных тонах. Балкон застеклен и облагорожен. Во дворе находится детский сад, школа и городская поликлиника №3. Общественный транспорт - маршрут № 17 и №33, которые позволяют добраться, практически, в любую точку города. Во дворе детская площадка. Рядом находится СК ""Партиком"" с бассейном и ледовым катком, Воронинские горки."|7 м²|Обычное состояние|2 700 000 ₽|2 из 5
Многокомнатн. квартира  в районе Технопарка, ул. Минская, 69, Жилой дом «на Минской», г. Тюмень|NA|2014|98211|Кирпич|NA|180 м²|"Продается новая квартира - спарка 2+3. 5 спален, кухня-гостиная, 3 санузла, застекленная лоджия. С ремонтом: плитка, паркет, обои, натяжные потолки. Установлены двери. Выведены кондиционеры. Окна во двор и на ул. Минская. квартира в новом доме. 4 спальни, гардеробная - кладовка, кухня-гостиная. Итальянский кухонный гарнитур Aran из массива. Новый ремонт. Новая мебель. Паркет. 3 санузла. В доме магазин ""Магнит"". Детская площадка. Напротив рынок ""На Минской"". Рядом два садика и гимназия №5."|45 м²|Дизайн-проект|15 000 000 ₽|8 из 14
2 комнатная квартира  в Европейском мкрн., ул. Газовиков, 67, Микрорайон «Европейский», г. Тюмень|NA|2014|310447|Монолитно-каркасный|Частично|55 м²|Жить в Европейском- это гордость! Предлагаю вашему вниманию квартиру в современных тонах, в квартире выполнен хороший ремонт, на полу ламинат светлый дуб, потолки матовые натяжные с точечными светильниками. При продаже остается вся мебель.|10 м²|Хороший ремонт|5 900 000 ₽|2 из 10
2 комнатная квартира  в Восточном мкрн., ул. Моторостроителей, 1, г. Тюмень|NA|1985|487351|Панель|Частично|50 м²|Чистая продажа, квартира свободная от проживания, один совершеннолетний собственник. Дом расположен в спальном районе города, зелёный двор, детские площадки для всех возрастов, две спортивные площадки во дворе. Район с развитой инфраструктурой, в шаговой доступности школа, детский сад, спортивная школа, остановка общественного транспорта за домом. Рассмотрим покупку квартиры по ипотеке, звоните!|9 м²|Обычное состояние|3 850 000 ₽|9 из 9
1 комнатная квартира  в районе МЖК, ул. Широтная, 146/1, г. Тюмень|NA|2008|487593|Кирпич|Полностью|33 м²|Квартира в спальном районе города, в хорошем состоянии, с огромной застекленноё лоджией на всю ширину квартиры. В квартире остаётся кухонный гарнитур и электрическая плита. Дом теплый, квартира светлая. Район оснащен всей необходимой инфраструктурой, в шаговом доступе несколько школ и детских садов, а также магазины на любой запрос, ТРЦ Матрёшка, фитнес клубы и многое другое. Удобная транспортная развязка, несколько остановочных комплексов прям возле дома и есть чуть подальше, в целом проходит более 20 маршрутов общественного транспорта. Звоните, покажем в удобное для вас время!|8 м²|Хороший ремонт|4 100 000 ₽|7 из 10
3 комнатная квартира  в 2 микрорайоне, ул. Олимпийская, 49, г. Тюмень|NA|1980|487280|Панель|Частично|65 м²|"Предлагаю к продаже отличную квартиру. Поменяли окна и межкомнатные двери. Удобная транспортная развязка в любую точку города. В шаговой доступности магазины "" Монетка"", ""Магнит"", ""Пятерочка"", школа №27, детский сад №132. Покажем в удобное для Вас время. Звоните."|9 м²|Хороший ремонт|4 200 000 ₽|8 из 9
3 комнатная квартира  в районе Ватутина, ул. Ватутина, 55, г. Тюмень|NA|2005|85719|NA|NA|130 м²|Просторная квартира с отличным ремонтом, с большой кухней-гостиной, расположена на удобном этаже, в новом доме. Район отличается развитой транспортной инфраструктурой, ходит много автобусов и маршрутных такси, до центра города 10-15 минут. В районе так же развита социальная инфраструктура, недалеко находятся детский сад и школа, много маленьких магазинов и супермаркетов. В квартире произведен современный, свежий, качественный ремонт, вам не придется ничего переделывать. Отличная планировка, удобная для комфортного расположения мебели. Соседи хорошие. В подъездах всегда чисто, дом обслуживает хорошая управляющая компания. Вкладывая деньги сегодня в эту квартиру - Вы приобретаете комфорт на несколько лет. Помощь в оформлении ипотеки!|25 м²|Хороший ремонт|9 000 000 ₽|9 из 12
3 комнатная квартира , ул. Центральная, 31А, с. Онохино|2.5 м|1987|225642|Кирпич|NA|86.9 м²|Продам большую, но в то же время уютную квартиру в центре села Онохино. В квартире выполнен хороший ремонт без вложений. Натяжные потолки с точечным освещением. При продаже мебель остается по договоренности. Документы готовы к продаже. Удачное расположение дома, в шаговой доступности детский сад, школа, магазины. |15 м²|Хороший ремонт|2 590 000 ₽|1 из 2
Студия в районе Тюменская слобода, ул. Вадима Бованенко, 5, |2.65 м|2021|487394|Монолитный|Без мебели|23.85 м²|"Предлагается к продаже студия общей площадью 23,85 кв.м в ЖК ""Легенда-Парк"", район ""Тюменской слободы"". Квартира с черновой отделкой. Высота потолков 2,65 м. Обустройство микрорайона продолжается: будет пять безопасных детских площадок, просторный скейт-парк, футбольное поле, площадка для игры в баскетбол/волейбол, хоккейный корт, площадка воркаута. В квартале установят силовые тренажеры, теннисные столы, появится парк с пешеходным бульваром, зоной барбекю. Всего в квартале будет высажено около восьмисот деревьев и кустарников! Санузел совмещенный, пластиковые окна, в доме есть: открытый двор, гостевой паркинг, лифт пассажирский, лифт грузовой, улучшенная черновая отделка, также имеются: телефон, интернет, кабельное телевидение, счетчики холодной и горячей воды, домофон, железная дверь. Дом сдан! Добро пожаловать на просмотр!"|5 м²|Улучшенная черновая|2 750 000 ₽|1 из 20
2 комнатная квартира  в районе Московского тр., ул. Московский тракт, 143/7, г. Тюмень|2.8 м|2007|473599|Кирпич|Частично|72 м²|"Продается просторная, светлая квартира в кирпичном доме на Московском тракте! Удобная и функциональная планировка, застекленная лоджия. В квартире выполнен качественный ремонт для себя. Почти вся мебель при продаже остается! Рядом с домом школа № 88, во дворе строится детский сад, удобная транспортная развязка, множества магазинов формата у дома, в 10 минутах ТЦ ""Колумб"", удобная транспортная развязка, все есть для комфортной жизни."|20 м²|Хороший ремонт|5 700 000 ₽|8 из 9
1 комнатная квартира  в 2 микрорайоне, ул. Олимпийская, 11, г. Тюмень|NA|2010|472990|Кирпич|Частично|51.3 м²|"Предлагаю вашему вниманию отличную квартиру с очень хорошим ремонтом. Большая кухня-гостиная, удобная транспортная развязка в любую точку города. В шаговой доступности два корпуса детского сада№132 , два корпуса школы№27, магазины ""Пятерочка"",""Магнит"", ""Монетка"" в шаговой доступности. Покажем в удобное для вас время. Звоните."|25 м²|Дизайн-проект|4 700 000 ₽|2 из 8
1 комнатная квартира  в районе Центральная часть, ул. Центральная, 52, п. Новотарманский|NA|1970|391598|Кирпич|Частично|18 м²|Отличная квартира в дали от городской суеты. Поселок Новотарманский идеальное место для единения с природой! Рядом лес река озеро. Чистейшей воздух - сосновый бор! В квартире заведена воды, установлен водонагреватель, надежная дверь. Дом после кап ремонта, подъезд чистый без посторонних запахов. |3 м²|Обычное состояние|550 000 ₽|1 из 5
3 комнатная квартира  в районе Лесной мкр., ул. Лесной мкр., 12, г. Тюмень|NA|1983|454628|Панель|Частично|64.5 м²|Уютная квартира со свежим хорошим ремонтом в самом зелёном и экологически чистом микрорайоне Тюмени! На кухне установлен теплый пол. Сделана перепланировка квартиры, кухня совмещена с комнатой аркой. Перепланировка узаконена. Мебель и техника остается по договоренности сторон. В квартире установлены пластиковые окна, поменяна вся сантехника. Чистый подъезд. Документы к сделке готовы. Приглашаем на просмотр.|10 м²|Хороший ремонт|3 490 000 ₽|1 из 3
3 комнатная квартира  в районе ул.Елизарова, ул. Холодильная, 13, г. Тюмень|NA|1983|389223|Панель|NA|68 м²|Купить квартиру в Тюмени - можно с нашей компанией по очень выгодной для Вас цене! Предложение для тех, кто ценит качество и комфорт. Шикарное предложение в одном из популярных районов города.|8 м²|Хороший ремонт|4 500 000 ₽|3 из 9
3 комнатная квартира  в 3 микрорайоне, ул. 30 лет победы, 79А, г. Тюмень|2.3 м|1986|478289|Панель|Частично|55.3 м²|Продается светлая, уютная 3 комнатная квартира в здании коридорного типа. Прекрасный вариант для молодых семей. Квартира очень уютная, аккуратная. теплая и светлая. Квартира расположена на комфортном 3 этаже, в подъезде недавно поменяли лифт. Из окон видна придомовая парковка. Возле дома всегда есть свободные парковочные места, вы можете смело приглашать гостей! Отличная транспортная развязка. В десяти минутах ходьбы детская и взрослая поликлиники, детский сад №118 и школа №27. Соседи хорошие. В подъезде чисто, установлено видеонаблюдение. В квартире сделан дизайнерский ремонт, новый санфаянс, при продаже остается кухонный гарнитур с встроенной варочной поверхностью и духовым шкафом, обеденный стол и 4 стула очень хорошего качества, 3 больших вместительных встроенных шкафа-купе. Просмотр в любое удобное для Вас время.|6 м²|Хороший ремонт|3 880 000 ₽|3 из 8
3 комнатная квартира  в районе Дом Обороны, ул. Чернышевского, 2А/12, г. Тюмень|NA|2010|485125|Кирпич|Частично|106.7 м²|Вашему вниманию предлагается шикарная, уютная, видовая квартира в кирпичном доме. В квартире выполнен качественный современный ремонт, на полу-ламинат, в санузлах итальянский кафель, установлены фильтры воды и система от протечек, также есть водонагреватель, установлена надежная сейф-дверь. Просторная оборудованная гардеробная комната, кухня-гостиная, два сан. узла. В квартире 3 лоджии, все утеплены и застеклены, витражное остекление, установлены кондиционеры. Высота потолка 2.8м.|16.6 м²|Дизайн-проект|8 700 000 ₽|13 из 14
3 комнатная квартира  в районе Московского тр., ул. Московский тракт, 127, г. Тюмень|2.8 м|2009|425836|Кирпич|NA|80.7 м²|Продается уютная квартира в кирпичном доме, в прекрасном районе города, с развитой инфраструктурой и расположением. Квартира теплая, поскольку дом построен полностью из кирпича. Планировка удачная, позволяет рационально использовать пространство. Квартира в хорошем состоянии по ремонту, недавно выполнен косметический ремонт. Потолки натяжные, на стенах обои, санузел раздельный, в кафеле. Мебель и бытовая техника остается по договоренности.|14 м²|Хороший ремонт|6 200 000 ₽|5 из 14
Студия в районе Плеханово, ул. Ставропольская, 160, |NA|2019|471492|Монолитно-каркасный|Частично|27 м²|К продаже представлена квартира в новом жилом комплексе. В квартире выполнен качественный современный ремонт в светлых тонах, что визуально делает квартиру просторнее, хорошие двери, при входе в квартиру установлен шкаф-купе. Санузел совмещённый в кафеле. На первом этаже дома расположена удобная и просторная колясочная. У дома своя автономная котельная. Очень перспективный район. |6 м²|Хороший ремонт|2 950 000 ₽|6 из 10
Студия в районе Тарманы, ул. Газопромысловая, 8, Жилой квартал «Новый мыс 2.0», г. Тюмень|NA|2016|461520|Монолитно-кирпичный|Полностью|24 м²|"Предлагаем к продаже уютную современную квартиру студию в современном жилом комплексе. В квартире натяжной потолок, на полу ламинат, в санузле стены обшиты панелями на полу плитка. Есть вся необходимая мебель и техника для проживания, всё остается в квартире при продаже. Отличный вариант под сдачу в аренду. Рядом с домом расположены школы №91, №48 и детский сад №124, библиотека, спортивный клуб, детский морской центр ""Алый парус"", ДЮЦ ""Гайдаровец"", многопрофильный медицинский центр ""Здоровье"", парк имени Гагарина. Звоните, показываем в удобное для Вас время."|5 м²|Обычное состояние|2 250 000 ₽|8 из 16
3 комнатная квартира  в районе Войновка, ул. Станционная, 38А, г. Тюмень|NA|1988|471758|Панель|Полностью|60.7 м²|Продаётся отличная трёхкомнатная квартира с мебелью и бытовой техникой!|5 м²|Хороший ремонт|4 100 000 ₽|5 из 5
4 комнатная квартира  в районе Войновка, ул. Космонавтов, 33А, г. Тюмень|NA|1990|443858|Панель|NA|57.7 м²|"Продается хорошая квартира, кухня объединена с гостинной, очень теплая, окна выходят на три стороны. Балкон. Хорошо развитая инфраструктура, рядом новые детские сады и школа. Рядом база отдыха ""Пруд лесной"". "|6 м²|Обычное состояние|4 200 000 ₽|3 из 5
4 комнатная квартира  в районе Дома печати, ул. Пароходская, 4, г. Тюмень|NA|2011|96790|NA|NA|186 м²|В тихом спальном месте в исторической части города продается 4-х комнатная квартира. Отделка черновая, имеется: входная металлическая дверь, затирка швов на потолке; штукатурка стен, устройство стяжки пола, установка окон из ПФХ профиля с тройным остеклением, монтаж канализационных стояков в санузле и на кухне, установка стояков холодной и горячей воды без горизонтальной разводки, монтаж системы отопления, монтаж электрической разводки без установки патронов и светильников, ввод слаботочных сетей телефонизации, радиофикации, телевидения, домофонной связи, остекление балконов (лоджий), установка электрических счетчиков, установка приборов учета воды. Высота потолков — 2, 75 м. Дом сдан. Два лифта, детская площадка, парковка.|26 м²|Улучшенная черновая|10 140 000 ₽|13 из 14
3 комнатная квартира  в районе КПД (Харьковская), ул. Харьковская, 66, Жилой комплекс «Центральный», г. Тюмень|NA|2014|454237|Кирпич|Частично|130 м²|Предлагаем Вашему вниманию просторную квартиру для большой семьи в центральной части города. Теплый, кирпичный дом. Выполнен ремонт по дизайн - проекту из высококачественных импортных материалов. В квартире две ванные комнаты, две гардеробные, две лоджии с панорамным остеклением.|34 м²|Дизайн-проект|12 150 000 ₽|10 из 16
2 комнатная квартира  в районе Технопарка, ул. Малыгина, 90, Жилой комплекс «Паруса», г. Тюмень|3 м|2011|265333|Монолитно-кирпичный|NA|89.4 м²|"Продается просторная видовая квартира в центре города Тюмени формата 2+ в доме класса ""комфорт"". При ремонте продуманы планировочные решения в рамках дизайн-проекта. Есть вместительная оборудованная гардеробная. Две застеклённые лоджии с системой тёплый пол. Продажа осуществляется с мебелью и техникой. На площадке 3 квартиры. Дом с подземным паркингом, есть наземные места парковки для личного транспорта. Двор закрытый. Рядом находятся высшие и средние профессиональные учебные заведения, школы и детские сады, медицинские учреждения, предприятия розничной торговли, торгово-развлекательные комплексы. Из окон открывается невероятно красивый вид на город."|19 м²|Дизайн-проект|9 000 000 ₽|22 из 25
3 комнатная квартира  в районе Выставочного зала, ул. Рижская, 55, г. Тюмень|NA|1960|456913|Кирпич|Частично|54 м²|Предлагается к продаже 3-х комнатная квартира, в хорошо развитом районе. Квартира чистая, светлая и очень уютная. В 2018 году проведён капитальный ремонт во всех комнатах, а так же заменена электропроводка, в ванной комнате - сантехника. Установлен кухонный гарнитур с электрической плитой и духовым шкафом. При продаже, остается мебель по договоренности. Квартира в собственности более 20 лет.|6 м²|Обычное состояние|4 390 000 ₽|3 из 4
1 комнатная квартира  в Заречном мкрн., ул. Газовиков, 20, г. Тюмень|2.5 м|1979|483076|Панель|Полностью|15.4 м²|Продается пансионат с совмещенным балконом. Стиральная машина, диван, шкаф, полочки - всё что на фото остается.|3 м²|Обычное состояние|1 350 000 ₽|2 из 8
2 комнатная квартира  в районе Суходолье, ул. Монтажников, 47, Жилой комплекс «Суходолье», г. Тюмень|NA|2015|480911|Монолитно-кирпичный|Частично|59 м²|Продается просторная теплая квартира в районе с развитой инфраструктурой и транспортной развязкой. В квартире выполнен косметический ремонт: в итальянскиe обои, в вaнной кафeль, в туaлeте обои, натяжные белые матовые потолки. Имеется большая застекленная лоджия 4,5 м2. В шаговой доступности школа, детский сад, магазины, поликлиника.|10 м²|Хороший ремонт|5 460 000 ₽|8 из 17
2 комнатная квартира  в районе Тюменская Слобода, ул. Созидателей, 5, |NA|2017|425513|Панель|NA|43 м²|"Продается квартира в экологически чистом, развивающемся районе.В квартире сделан качественный современный ремонт. При продаже остается вся мебель. В шаговой доступности находятся новая школа, детский сад, достраивается больница. Развитая инфраструктура. Все в шаговой доступности. При покупке квартиры по ипотеке - для Вас действуют специальные предложения от банков-партнеров АН ""СОВА!""."|12 м²|Хороший ремонт|3 950 000 ₽|9 из 14
1 комнатная квартира  в районе Югра, ул. Велижанская, 68, |NA|2018|486329|Монолитный|Частично|43 м²|Предлагаю Вашему вниманию хорошую квартиру с ремонтом. Новый дом. Мебель остается и бытовая техника остается по договоренности. Отлично развита инфраструктура района, школа, детский сад, магазины и многое другое находится в шаговой доступности. Возможен торг! Звоните или пишите в любое удобное время для Вас.|12 м²|Хороший ремонт|3 970 000 ₽|3 из 17
Многокомнатн. квартира  в районе Лесобаза, ул. Камчатская, 100/2, г. Тюмень|NA|1990|287960|Монолитный|NA|139.6 м²|Квартира  в районе Лесобаза,  ул. Камчатская, 100/2|11 м²|Обычное состояние|6 200 000 ₽|1 из 2
3 комнатная квартира  в районе Московского тр., ул. Московский тракт, 161, г. Тюмень|NA|1995|482812|Панель|Частично|87 м²|Предлагаем Вам купить замечательную квартиру в спальном микрорайоне. В квартире сделан качественный ремонт. При продаже остается - кухонный гарнитур, шкаф-купе, частично мебель. В шаговой доступности есть все необходимое: школы, детские сады, различные магазины, аптеки, поликлиника, остановка общественного транспорта, несколько скверов. Удобно добираться до любой точки города. Торг!|14.5 м²|Обычное состояние|5 400 000 ₽|5 из 9
Студия в районе Лесобаза, ул. Стройотрядовская, 10, |2.7 м|2021|482217|Монолитно-каркасный|Без мебели|26.1 м²|"Продается квартира-студия с прекрасным видом на озеро! Это уютный квартал из 4-этажных домов, выполненных в скандинавском стиле, расположенный рядом с лесопарками и озёрами. Окружающее пространство способствует особому образу жизни. Здесь можно восстанавливать силы и чувствовать себя отдохнувшим. Жители квартала смогут спуститься к озеру или прогуляться с семьей и друзьями по лесопарку. Офисы и магазины в шаговой доступности. В квартале будет удобно жить и работать. Для этого 43 помещения спроектировано под офисы и магазины. В пешей доступности: автобусная остановка, лесопарк и два озера: Песьяное и Чистое. До школы № 67, детского сада № 36, № 62, поликлиники № 13 можно пешком дойти за 20 минут, а на авто - за 5 минут. ТЦ ""Галактика"", ТЦ ""Сити Молл"", гипермаркет ""Лента"" расположены неподалеку. "|4 м²|Улучшенная черновая|2 300 000 ₽|2 из 4
Студия в Заречном 5 мкрн., ул. Пожарных и Спасателей, 5, ЖК «Айвазовский», г. Тюмень|NA|2021|462714|Монолитно-кирпичный|Без мебели|28.8 м²|Квартира-студия в одном из самых привлекательных и ярких жилых комплексов города, на левом берегу реки Тура!|5 м²|Улучшенная черновая|3 765 000 ₽|4 из 14
Студия в районе Червишевского тр., ул. Червишевский тракт, 68, г. Тюмень|NA|1969|489148|Кирпич|Частично|17.9 м²|"Предлагаем к продаже прекрасную однокомнатную квартиру-студию в одном из самых лучших районов города Тюмени! Несомненное преимущество - кирпичный дом и удобное расположение, несомненно очень понравится любому покупателю, а развитая инфраструктура (рядом магазин Пятерочка, аптека, детские сады, школы) не оставят равнодушными самого изыскательного покупателя! Рядом находится прекрасный сквер Шахматистов, который видно из окна! А шикарная транспортная развязка позволяет добраться в считанные минуты в любой район города! До ТЦ ""Кристалл"", ""Лента"", ""Ашан"" 7 минут езды! В квартире сделан отличный ремонт, очень светло и аккуратно, при продаже остается кухонный гарнитур, шкаф-купе, гардеробная и вся бытовая техника!"|4 м²|Хороший ремонт|1 650 000 ₽|3 из 5
2 комнатная квартира  в районе Выставочного зала, ул. Севастопольская, 2/4, Жилой дом «на Пржевальского», г. Тюмень|2.8 м|2018|340171|Кирпич|NA|85 м²|Шикарная квартира в хорошем и очень тёплом доме, дом со своим паркингом спускаясь в который вы попадаете прямо из лифта. Рядом с домом школа №7, хороший спортзал с бассейном всё в шаговой доступности. В квартире сделан частичный косметический ремонт, возможен торг.|14 м²|Частичный ремонт|6 500 000 ₽|5 из 12
4 комнатная квартира  в районе Южный 2/ Чаплина, ул. Депутатская, 80, г. Тюмень|NA|2001|440724|Кирпич|NA|147 м²|"Квартира с ремонтом по индивидуальному проекту, с большой кухней-гостиной. Отличительной чертой нашего предложения является наличие двух санузлов, а также отличной сауны! Везде установлены эко окна. Мебель и техника из качественных материалов и дорогих фирм. Квартира полностью меблирована. На полу выложена паркетная доска, на стенах натуральный камень, качественные швейцарские натяжные потолки, люстры, светильники-итальянского производства, установлен сейф. Итальянский​ кухонный гарнитур, со встроенной бытовой техникой (холодильник, духовка, микроволновка, посудомоечная машина, керамическая плита,​ измельчитель, очистка воды). В​ зале мягкая​ кожаная мебель фирмы ""MÖBEL&ZEIT​"" и камин. Также есть прачечная​ прачечная, где установлен удобный шкаф купе, стиральная машина,​ ванна, водонагреватель. В квартире также имеется гостевой туалет. В кабинете расположена мягкая мебель, камин, секретер- производства Италия. В спальне установлен кондиционер, есть функциональная гардеробная. Подогрев полов -в кухне, гостевом​ туалете, прачечной, ванной комнате. Отличная инфраструктура и очень хороший район. Звоните!"|18 м²|Хороший ремонт|10 500 000 ₽|1 из 9
1 комнатная квартира , ул. Мира, 9, с. Онохино|2.65 м|1978|432206|Кирпич|Частично|36.7 м²|Предлагается квартира в живописном районе. Просторная и светлая кухня с большим окном и широким подоконником. Глянцевый натяжной потолок отражает свет от окон и искусственного света. Установлены новые батареи. Жилая комната просторная и теплая, установлен матовый потолок, который не отвлекает своими бликами.|12.2 м²|Хороший ремонт|1 250 000 ₽|1 из 2
Студия в районе Суходолье, ул. Монтажников, 57, |NA|2017|418709|Монолитно-каркасный|NA|29.3 м²|"Предлагаем Вам купить замечательную квартиру в новом современном микрорайоне города. В шаговой доступности находятся средняя школа №65, детские сады №3, №146, №125 ""Ручеек"", Сквер Депутатов. Отличная транспортная развязка. Квартира-студия в отличном состоянии, сделан качественный ремонт. Подходит как для проживания, так и для сдачи в аренду. Возможна покупка по ипотеке и помощь в её оформлении, выгодные предложения от банков-партнёров по снижению процентной ставки. Ждём Ваших звонков и предложений по цене. Все интересующие вопросы Вы можете задать по телефону."|10 м²|Хороший ремонт|3 370 000 ₽|11 из 18
Студия в районе Плеханово, ул. Интернациональная, 199/1, |NA|2018|473937|Кирпич|Полностью|34 м²|Продаётся просторная, тёплая студия в новом кирпичном доме! Спокойный район с удобной транспортной развязкой и развитой инфраструктурой! В шаговой доступности есть всё необходимое - аптеки, магазины, салон красоты, остановки общественного транспорта, также в непосредственной близости школы и детские сады. В квартире остаётся частично мебель, кухонный гарнитур с встроенной техникой. Звоните отвечу на все вопросы!|5 м²|Обычное состояние|3 000 000 ₽|2 из 16
